# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416386401;-1;21.81;0.00;7.60;0.16;0.00;70.43
axle;60;1416386401;0;19.94;0.00;7.70;0.10;0.00;72.26
axle;60;1416386401;1;25.73;0.00;11.34;0.00;0.00;62.93
axle;60;1416386401;2;4.95;0.00;5.27;0.00;0.00;89.77
axle;60;1416386401;3;14.62;0.00;4.72;0.03;0.00;80.63
axle;60;1416386401;4;26.99;0.00;5.27;0.00;0.00;67.73
axle;60;1416386401;5;38.20;0.00;4.64;0.00;0.00;57.15
axle;60;1416386401;6;36.17;0.00;6.65;0.00;0.00;57.18
axle;60;1416386401;7;39.66;0.00;5.91;0.00;0.00;54.43
axle;60;1416386401;8;11.86;0.00;13.06;0.17;0.00;74.91
axle;60;1416386401;9;20.53;0.00;22.36;0.00;0.00;57.10
axle;60;1416386401;10;24.68;0.00;6.23;0.00;0.00;69.09
axle;60;1416386401;11;8.00;0.00;5.96;0.00;0.00;86.04
axle;60;1416386401;12;25.80;0.00;7.12;0.00;0.00;67.07
axle;60;1416386401;13;27.19;0.00;5.56;0.00;0.00;67.25
axle;60;1416386401;14;8.14;0.00;4.75;0.10;0.00;87.01
axle;60;1416386401;15;16.41;0.00;5.10;2.09;0.00;76.40
axle;60;1416386461;-1;12.35;0.00;5.92;0.00;0.00;81.73
axle;60;1416386461;0;7.19;0.00;17.74;0.02;0.00;75.05
axle;60;1416386461;1;13.19;0.00;20.16;0.00;0.00;66.65
axle;60;1416386461;2;16.44;0.00;6.47;0.00;0.00;77.09
axle;60;1416386461;3;2.11;0.00;3.02;0.00;0.00;94.87
axle;60;1416386461;4;1.64;0.00;2.24;0.00;0.00;96.13
axle;60;1416386461;5;4.39;0.00;3.06;0.00;0.00;92.55
axle;60;1416386461;6;2.47;0.00;1.84;0.00;0.00;95.69
axle;60;1416386461;7;30.88;0.00;2.71;0.00;0.00;66.42
axle;60;1416386461;8;3.31;0.00;10.02;0.00;0.00;86.66
axle;60;1416386461;9;26.43;0.00;11.53;0.00;0.00;62.04
axle;60;1416386461;10;0.62;0.00;2.54;0.00;0.00;96.84
axle;60;1416386461;11;0.40;0.00;3.31;0.00;0.00;96.29
